Java HotSpot(TM) 64-Bit Server VM (25.271-b09) for windows-amd64 JRE (1.8.0_271-b09), built on Sep 16 2020 19:14:59 by "" with MS VC++ 15.9 (VS2017)
Memory: 4k page, physical 50032504k(20855044k free), swap 63539488k(10215500k free)
CommandLine flags: -XX:-BytecodeVerificationLocal -XX:-BytecodeVerificationRemote -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=./heapdump.hprof -XX:InitialHeapSize=1073741824 -XX:+ManagementServer -XX:MaxHeapSize=1073741824 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:TieredStopAtLevel=1 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2025-08-31T23:05:00.448+0800: 54.831: [GC (Allocation Failure) [PSYoungGen: 202528K->384K(274432K)] 362537K->160393K(973824K), 0.0028930 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:01.844+0800: 56.227: [GC (Allocation Failure) [PSYoungGen: 202624K->288K(282624K)] 362633K->160329K(982016K), 0.0017387 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:03.489+0800: 57.873: [GC (Allocation Failure) [PSYoungGen: 213792K->320K(280064K)] 373833K->160393K(979456K), 0.0021916 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:04.943+0800: 59.325: [GC (Allocation Failure) [PSYoungGen: 213824K->320K(288768K)] 373897K->160401K(988160K), 0.0022036 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:06.389+0800: 60.772: [GC (Allocation Failure) [PSYoungGen: 225600K->320K(285696K)] 385681K->160401K(985088K), 0.0081981 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:07.905+0800: 62.288: [GC (Allocation Failure) [PSYoungGen: 225600K->384K(295424K)] 385681K->160497K(994816K), 0.0033750 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:09.697+0800: 64.080: [GC (Allocation Failure) [PSYoungGen: 238976K->320K(292352K)] 399089K->160449K(991744K), 0.0033403 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:11.379+0800: 65.763: [GC (Allocation Failure) [PSYoungGen: 238912K->320K(301056K)] 399041K->160449K(1000448K), 0.0023174 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:12.945+0800: 67.328: [GC (Allocation Failure) [PSYoungGen: 250688K->384K(298496K)] 410817K->160529K(997888K), 0.0026723 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:14.471+0800: 68.855: [GC (Allocation Failure) [PSYoungGen: 250752K->11776K(306176K)] 410897K->171929K(1005568K), 0.0049442 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:15.014+0800: 69.397: [GC (Allocation Failure) [PSYoungGen: 272896K->42976K(304128K)] 433049K->217337K(1003520K), 0.0197583 secs] [Times: user=0.22 sys=0.03, real=0.02 secs] 
2025-08-31T23:05:15.813+0800: 70.196: [GC (Allocation Failure) [PSYoungGen: 304096K->42457K(264192K)] 478457K->216826K(963584K), 0.0123116 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:17.275+0800: 71.658: [GC (Allocation Failure) [PSYoungGen: 261593K->42393K(261632K)] 435962K->216770K(961024K), 0.0103153 secs] [Times: user=0.11 sys=0.03, real=0.01 secs] 
2025-08-31T23:05:18.399+0800: 72.783: [GC (Allocation Failure) [PSYoungGen: 261529K->42457K(271872K)] 435906K->216842K(971264K), 0.0095049 secs] [Times: user=0.11 sys=0.02, real=0.01 secs] 
2025-08-31T23:05:19.581+0800: 73.964: [GC (Allocation Failure) [PSYoungGen: 244185K->42489K(244224K)] 418570K->216882K(943616K), 0.0066975 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:20.603+0800: 74.987: [GC (Allocation Failure) [PSYoungGen: 244217K->42521K(268288K)] 418610K->216914K(967680K), 0.0068903 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:21.839+0800: 76.222: [GC (Allocation Failure) [PSYoungGen: 234009K->42457K(233984K)] 408402K->216850K(933376K), 0.0060361 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:22.960+0800: 77.344: [GC (Allocation Failure) [PSYoungGen: 233945K->42425K(268288K)] 408338K->216818K(967680K), 0.0100216 secs] [Times: user=0.13 sys=0.03, real=0.01 secs] 
2025-08-31T23:05:23.989+0800: 78.372: [GC (Allocation Failure) [PSYoungGen: 230841K->42610K(231424K)] 405234K->217012K(930816K), 0.0094351 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:25.186+0800: 79.569: [GC (Allocation Failure) [PSYoungGen: 231026K->42489K(268800K)] 405428K->216898K(968192K), 0.0100352 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:26.237+0800: 80.619: [GC (Allocation Failure) [PSYoungGen: 230393K->42425K(268288K)] 404802K->216842K(967680K), 0.0076447 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:27.307+0800: 81.690: [GC (Allocation Failure) [PSYoungGen: 230329K->42457K(270336K)] 404746K->216922K(969728K), 0.0072162 secs] [Times: user=0.25 sys=0.02, real=0.01 secs] 
2025-08-31T23:05:28.344+0800: 82.727: [GC (Allocation Failure) [PSYoungGen: 232921K->42425K(269312K)] 407386K->216906K(968704K), 0.0091996 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:29.372+0800: 83.754: [GC (Allocation Failure) [PSYoungGen: 232889K->42425K(272384K)] 407370K->216914K(971776K), 0.0081603 secs] [Times: user=0.13 sys=0.02, real=0.01 secs] 
2025-08-31T23:05:30.479+0800: 84.862: [GC (Allocation Failure) [PSYoungGen: 236985K->42265K(271360K)] 411474K->216970K(970752K), 0.0067440 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:31.535+0800: 85.919: [GC (Allocation Failure) [PSYoungGen: 236825K->20210K(275456K)] 411530K->217228K(974848K), 0.0139954 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:32.751+0800: 87.133: [GC (Allocation Failure) [PSYoungGen: 220402K->416K(200704K)] 417420K->217588K(900096K), 0.0072562 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:34.033+0800: 88.416: [GC (Allocation Failure) [PSYoungGen: 200608K->352K(272384K)] 417780K->217524K(971776K), 0.0024427 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:35.094+0800: 89.477: [GC (Allocation Failure) [PSYoungGen: 196960K->256K(272896K)] 414132K->217428K(972288K), 0.0018825 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:36.069+0800: 90.453: [GC (Allocation Failure) [PSYoungGen: 196864K->224K(273920K)] 414036K->217420K(973312K), 0.0016212 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:37.119+0800: 91.503: [GC (Allocation Failure) [PSYoungGen: 197856K->352K(272896K)] 415052K->217548K(972288K), 0.0070248 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:38.178+0800: 92.561: [GC (Allocation Failure) [PSYoungGen: 197984K->192K(277504K)] 415180K->217396K(976896K), 0.0047228 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2025-08-31T23:05:39.384+0800: 93.767: [GC (Allocation Failure) [PSYoungGen: 203968K->352K(275456K)] 421172K->217564K(974848K), 0.0032814 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2025-08-31T23:05:40.872+0800: 95.256: [GC (Allocation Failure) [PSYoungGen: 204128K->192K(282112K)] 421340K->217404K(981504K), 0.0021456 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
